id,activity,sector,use
658776,Vehicle,Personal Use,to purchase a motorcycle in order to travel from work to home.
1314847,Pigs,Agriculture,to buy feed and other supplies like vitamins to raise her pigs.
863063,Bookstore,Retail,"to buy notebooks, pencils, and pens."
1184347,Photography,Services,to pay for a new lens for providing photography service
729745,Fuel/Firewood,Retail,to buy  firewood to sell.
766484,Tailoring,Services,to purchase fabric and thread.
1133162,Barber Shop,Services,"to buy new instruments such as scissors, combs, shaving machine, front mirror, revolving chair and plastic furniture for her husband's barber shop."
1152653,Cereals,Food,to buy more stocks of rice to sell.
1070561,Farming,Agriculture,to purchase a plot of land for growing coffee.
1321354,Clothing Sales,Clothing,to buy baby clothes.
685876,Fruits & Vegetables,Food,to purchase coconuts to sell 
1063415,Food Production/Sales,Food,"to buy ingredients such as, flour, sugar, etc."
686921,Farming,Agriculture,to purchase additional seeds and fertilizers for her business.
977552,Pigs,Agriculture,to buy feed and piglets.
836963,Farming,Agriculture,to purchase seeds and fertilizers to grow organic potato
745657,Higher education costs,Education,To pay for her son's tuition fees
1136589,Higher education costs,Education,to cover her semester fees
1156199,General Store,Retail,to buy additional stocks of groceries to sell.
848859,Higher education costs,Education,to pay his university expenses.
1191351,Farming,Agriculture,"to buy farm inputs and purchase high-quality seeds, good fertilizer, and pesticides to improve crop production."
1049704,Farming,Agriculture,to purchase another dairy cow.
855669,Services,Services,to selling mobile airtime credits and provide bill payment services.
1040492,Construction Supplies,Construction,to purchase bricks and more.
883638,Pigs,Agriculture,to buy feed and other supplies to raise her pigs.
1336206,Farming,Agriculture," to pay for seedlings, compost and fertilizer."
806147,Farming,Agriculture,"To buy food and clothing, thereby eliminating pressure to sell corn at low prices at harvest"
1220247,Poultry,Agriculture,To purchase poultry and other animals to breed.
690566,Personal Housing Expenses,Housing,to make repairs to their family home
1219165,General Store,Retail,"to restock her store with coffee, noodles, shampoo and canned goods"
1183722,Personal Products Sales,Retail,"to purchase more dried goods, shoes, and other personal products to sell"
693712,Retail,Retail,to buy various articles.
961892,Agriculture,Agriculture,to buy seeds and manure.
1049857,Agriculture,Agriculture,to purchase fertilizer for his coffee farm
1009912,Education provider,Education,to purchase a water filtration system to provide clean drinking water for its students.
1117335,Personal Housing Expenses,Housing,"to purchase sand, cement, brick, and equipment to build a toilet."
794407,Grocery Store,Food,to buy groceries and clothing to sell.
709984,Transportation,Transportation,to maintain his vehicle.
1218721,Agriculture,Agriculture,"to buy potato seeds, fertilizer and plant-health products, and to pay for labor."
1241565,Tailoring,Services,to purchase sewing materials
874836,Farming,Agriculture,to buy seeds and compost and to extend his plantings
1163035,Clothing Sales,Clothing,to purchase an autumn and fall collection of clothing to sell.
792308,Home Appliances,Personal Use,buy a latrine for her family
693949,Agriculture,Agriculture,to buy farming supplies.
933803,Services,Services,to be capable of buying materials and equipment for her car wash business.
807949,Personal Products Sales,Retail,"to buy clothing and items for babies such as soap, perfumes, and diapers."
733201,Crafts,Arts,to buy materials to use in her craft business
1294509,Cattle,Agriculture,to buy animal food and calves for her livestock business.
